screen,trigger,target,type,notes
00 Splash,app ready first launch,01 RoleStart,navigation,first launch
00 Splash,authenticated owner,08 OwnerHome,navigation,role landing
00 Splash,authenticated employee,21 EmployeeAttendanceHome,navigation,role landing
00 Splash,authenticated personal,45 PersonalHome,navigation,role landing
01 RoleStart,owner card tap,01 RoleStart,state,owner selected
01 RoleStart,employee card tap,01 RoleStart,state,employee selected
01 RoleStart,personal card tap,01 RoleStart,state,personal selected
01 RoleStart,primary CTA,05 Signup,navigation,with selected role
01 RoleStart,already has account,04 Login,navigation,
02 WelcomeMain,free start,01 RoleStart,navigation,
02 WelcomeMain,login,04 Login,navigation,
03 OnboardingCarousel,next,next slide,state,
03 OnboardingCarousel,start,01 RoleStart,navigation,
04 Login,login valid,role home,navigation,after loading
04 Login,login invalid,inline error,state,
04 Login,kakao,07 KakaoLogin,navigation,
04 Login,password reset,06 PasswordReset,navigation,
05 Signup,terms tap,TermsSheet,sheet,
05 Signup,next owner final,12 StoreRegistration,navigation,
05 Signup,next employee final,27 JoinStoreByCode,navigation,
05 Signup,next personal final,45 PersonalHome,navigation,
06 PasswordReset,send email,PasswordResetSuccess,state,
07 KakaoLogin,consent success existing,role home,navigation,
07 KakaoLogin,consent success new,05 Signup,navigation,
08 OwnerHome,store dropdown,StoreSwitcher,sheet,
08 OwnerHome,notification,38 NotificationCenter,navigation,
08 OwnerHome,exception CTA,25 MissingAttendanceCenter,navigation,
08 OwnerHome,employee row,17 EmployeeDetail,navigation,
08 OwnerHome,payroll card,28 SalaryList,navigation,
11 StoreList,row tap,13 StoreDetail Console,navigation,
11 StoreList,new store,12 StoreRegistration,navigation,
12 StoreRegistration,address field,AddressSearch,sheet,
12 StoreRegistration,radius,RadiusSelector,sheet,
12 StoreRegistration,complete,StoreSuccess,state,
13 StoreDetail Console,edit,14 StoreEdit,navigation,
13 StoreDetail Console,copy code,toast,toast,
13 StoreDetail Console,share,native share,system,
13 StoreDetail Console,employee row,17 EmployeeDetail,navigation,
17 EmployeeDetail,memo,EmployeeMemo,sheet,
17 EmployeeDetail,wage change,WageEdit,sheet,
18 WageSettings,employee wage row,WageEdit,sheet,
19 AttendanceOverview,filter,AttendanceFilter,sheet,
19 AttendanceOverview,missing cleanup,25 MissingAttendanceCenter,navigation,
20 AttendanceScreen Advanced,NFC punch,NFCScan,modal,
21 EmployeeAttendanceHome,punch,22 EmployeeWorking,navigation,after permission and success
21 EmployeeAttendanceHome,no store,27 JoinStoreByCode,navigation,
21 EmployeeAttendanceHome,records,23 AttendanceCalendar,navigation,
22 EmployeeWorking,checkout,CheckoutConfirm,sheet,
23 AttendanceCalendar,date tap,selected date detail,state,
23 AttendanceCalendar,correction,24 CorrectionRequest,navigation,
24 CorrectionRequest,submit,CorrectionSuccess,state,
25 MissingAttendanceCenter,record row,CorrectionReview,sheet,
26 TimeOffRequest,date field,DatePicker,sheet,
26 TimeOffRequest,submit,TimeOffSuccess,state,
27 JoinStoreByCode,QR,QRScanner,modal,
27 JoinStoreByCode,join valid,JoinStoreSuccess,state,
28 SalaryList,row,29 SalaryDetail,navigation,
28 SalaryList,start payroll,30 PayrollRun,navigation,
29 SalaryDetail,PDF,PDFPreview,sheet,
29 SalaryDetail,paid,PayPaidConfirm,sheet,
30 PayrollRun,missing card,25 MissingAttendanceCenter,navigation,
30 PayrollRun,preview row,PayrollCalcDetail,sheet,
30 PayrollRun,issue,PayrollIssueConfirm,sheet,
31 Subscribe,payment method,BillingMethod,sheet,
31 Subscribe,plan row,PlanDetail,sheet,
32 InfoList,labor row,33 LaborInfoDetail,navigation,
32 InfoList,policy row,34 PolicyDetail,navigation,
32 InfoList,tax row,35 TaxInfoDetail,navigation,
32 InfoList,tips row,36 TipsDetail,navigation,
37 QnA,write,QnACompose,sheet,
38 NotificationCenter,settings,40 NotificationSettings,navigation,
39 Settings,notification,40 NotificationSettings,navigation,
41 MyPage,profile edit,43 Profile,navigation,
41 MyPage,billing,31 Subscribe,navigation,
41 MyPage,account,42 AccountSettings,navigation,
41 MyPage,logout,LogoutConfirm,sheet,
42 AccountSettings,delete account,AccountDeleteFlow,modal,
43 Profile,image,ImagePicker,sheet,
44 Referral,share,native share,system,
45 PersonalHome,manual add,ManualRecordSheet,sheet,
45 PersonalHome,break,BreakTimerSheet,sheet,
45 PersonalHome,record row,PersonalRecordEdit,sheet,
48 ErrorState,retry,previous request,action,
49 PermissionState,enable permission,OS permission,system,
50 LoadingState,timeout,48 ErrorState,navigation
